year,importer1,id1,importer2,id2,flow1,flow2
2013,United States of America,USA,Netherlands,NLD,19938.9,37101.133
2013,United States of America,USA,Belgium,BEL,19425.6,30251.539
2013,United States of America,USA,Luxembourg,LUX,668.90002,2202.8645
2013,United States of America,USA,France,FRA,46363.199,25526.418
2013,United States of America,USA,Monaco,MCO,-9,-9
2013,United States of America,USA,Liechtenstein,LIE,-9,-9
2013,United States of America,USA,Switzerland,CHE,28870.5,12265.325
2013,United States of America,USA,Spain,ESP,12166.5,10088.572
2013,United States of America,USA,Andorra,AND,-9,-9
2013,United States of America,USA,Portugal,PRT,2941.3999,962.39539
2013,United States of America,USA,Germany,DEU,116924.7,42489.965
2013,United States of America,USA,Poland,POL,5083.2002,2825.1133
2013,United States of America,USA,Austria,AUT,10144.6,3522.1816
2013,United States of America,USA,Hungary,HUN,3840.5,1162.0789
2013,United States of America,USA,Czech Republic,CZE,4048.5,1924.8127
2013,United States of America,USA,Slovakia,SVK,1811.4,328.93289
2013,United States of America,USA,Italy,ITA,40035.301,13451.865
2013,United States of America,USA,San Marino,SMR,-9,-9
2013,United States of America,USA,Malta,MLT,216.8,163.5735
2013,United States of America,USA,Albania,ALB,23.4,81.949997
2013,United States of America,USA,Montenegro,MNE,2,20.400299
2013,United States of America,USA,Macedonia,MKD,64.199997,62.259998
2013,United States of America,USA,Croatia,HRV,430.89999,369.991
2013,United States of America,USA,Yugoslavia,YUG,-9,-9
2013,United States of America,USA,Bosnia and Herzegovina,BIH,59.599998,42.130001
2013,United States of America,USA,Kosovo,KOS,0.5,14.5
2013,United States of America,USA,Slovenia,SVN,599,606.75189
2013,United States of America,USA,Greece,GRC,1022.1,545.05109
2013,United States of America,USA,Cyprus,CYP,45,56.408798
2013,United States of America,USA,Bulgaria,BGR,549.09998,254.4872
2013,United States of America,USA,Moldova,MDA,37.400002,73.577797
2013,United States of America,USA,Romania,ROU,1780,798.00818
2013,United States of America,USA,Russia,RUS,27732.199,16717.711
2013,United States of America,USA,Estonia,EST,435.70001,150.7188
2013,United States of America,USA,Latvia,LVA,286.70001,107.5663
2013,United States of America,USA,Lithuania,LTU,1588,308.99649
2013,United States of America,USA,Ukraine,UKR,1085,2770.6367
2013,United States of America,USA,Belarus,BLR,111.7,590.5932
2013,United States of America,USA,Armenia,ARM,106.8,137.89461
2013,United States of America,USA,Georgia,GEO,175.8,254.44038
2013,United States of America,USA,Azerbaijan,AZE,1166.5,376.76471
2013,United States of America,USA,Finland,FIN,4849.8999,1683.4426
2013,United States of America,USA,Sweden,SWE,9440.7002,4128.8906
2013,United States of America,USA,Norway,NOR,5709.2002,5298.5762
2013,United States of America,USA,Denmark,DNK,6627.7002,1966.9547
2013,United States of America,USA,Iceland,ISL,311.39999,484.08154
2013,United States of America,USA,Cape Verde,CPV,-9,-9
2013,United States of America,USA,Sao Tome and Principe,STP,0.1,2.2
2013,United States of America,USA,Guinea-Bissau,GNB,3.2,7.1500001
2013,United States of America,USA,Equatorial Guinea,GNQ,928.79999,831.48999
2013,United States of America,USA,Gambia,GMB,1.6,38.939999
2013,United States of America,USA,Mali,MLI,3.9000001,54.889999
2013,United States of America,USA,Senegal,SEN,17.9,178.60364
2013,United States of America,USA,Benin,BEN,3.0999999,668.14001
2013,United States of America,USA,Mauritania,MRT,134.5,269.82999
2013,United States of America,USA,Niger,NER,2.5,50.82
2013,United States of America,USA,Ivory Coast,CIV,1037.4,237.40552
2013,United States of America,USA,Guinea,GIN,138.2,87.559998
2013,United States of America,USA,Burkina Faso,BFA,6.1999998,85.25
2013,United States of America,USA,Liberia,LBR,98.5,190.74001
2013,United States of America,USA,Sierra Leone,SLE,41.799999,90.75
2013,United States of America,USA,Ghana,GHA,381.79999,1174.14
2013,United States of America,USA,Togo,TGO,8.3000002,133.4828
2013,United States of America,USA,Cameroon,CMR,381.79999,364.54001
2013,United States of America,USA,Nigeria,NGA,11984.8,7121.73
2013,United States of America,USA,Gabon,GAB,1142.9,260.59
2013,United States of America,USA,Central African Republic,CAF,2.7,4.5100002
2013,United States of America,USA,Chad,TCD,2508.5,44.990002
2013,United States of America,USA,Congo,COG,1192.6,247.83
2013,United States of America,USA,Democratic Republic of the Congo,COD,78,186.45
2013,United States of America,USA,Uganda,UGA,49.900002,137.61
2013,United States of America,USA,Kenya,KEN,465,656.8468
2013,United States of America,USA,Tanzania,TZA,72.099998,462.22
2013,United States of America,USA,Burundi,BDI,4.5,18.15
2013,United States of America,USA,Rwanda,RWA,25,27.719999
2013,United States of America,USA,Somalia,SOM,1.3,16.610001
2013,United States of America,USA,Djibouti,DJI,4,186.56
2013,United States of America,USA,Ethiopia,ETH,201.7,746.02002
2013,United States of America,USA,Eritrea,ERI,0,10.9
2013,United States of America,USA,Angola,AGO,8924.9004,1595.11
2013,United States of America,USA,Mozambique,MOZ,77.300003,337.14999
2013,United States of America,USA,Zambia,ZMB,37.5,146.98946
2013,United States of America,USA,Zimbabwe,ZWE,14.7,66.110001
2013,United States of America,USA,Malawi,MWI,76.300003,59.509998
2013,United States of America,USA,South Africa,ZAF,8663.2998,7233.8423
2013,United States of America,USA,Namibia,NAM,263.70001,206.5
2013,United States of America,USA,Lesotho,LSO,368.79999,0.69999999
2013,United States of America,USA,Botswana,BWA,284,82.099998
2013,United States of America,USA,Swaziland,SWZ,61.900002,23
2013,United States of America,USA,Madagascar,MDG,183.8,70.730003
2013,United States of America,USA,Comoros,COM,2.9000001,3.96
2013,United States of America,USA,Mauritius,MUS,347.60001,75.1464
2013,United States of America,USA,Seychelles,SYC,6,13.53
2013,United States of America,USA,Morocco,MAR,1033.9,3363.2969
2013,United States of America,USA,Algeria,DZA,4960.5,2368.6406
2013,United States of America,USA,Tunisia,TUN,771.70001,798.41284
2013,United States of America,USA,Libya,LBY,2622.1001,893.64001
2013,United States of America,USA,Sudan,SDN,11.1,94.389
2013,United States of America,USA,South Sudan,SSD,0.1,23.299999
