year,importer1,id1,importer2,id2,flow1,flow2
1999,United States of America,USA,Mauritius,MUS,278.5,74.751701
1999,United States of America,USA,Seychelles,SYC,5.5,7.5618849
1999,United States of America,USA,Morocco,MAR,409.89999,576.95001
1999,United States of America,USA,Algeria,DZA,1987.1,770.43372
1999,United States of America,USA,Tunisia,TUN,67.099998,391.51215
1999,United States of America,USA,Libya,LBY,0,0
1999,United States of America,USA,Sudan,SDN,0,7.9200001
1999,United States of America,USA,Iran,IRN,2.4000001,47.900002
1999,United States of America,USA,Turkey,TUR,2771,3081.1323
1999,United States of America,USA,Iraq,IRQ,4266.2998,21.559999
1999,United States of America,USA,Egypt,EGY,659.40002,2295.7876
1999,United States of America,USA,Syria,SYR,95.300003,174.91243
1999,United States of America,USA,Lebanon,LBN,53.200001,501.48999
1999,United States of America,USA,Jordan,JOR,30.5,366.22736
1999,United States of America,USA,Israel,ISR,9892.2002,6317
1999,United States of America,USA,Saudi Arabia,SAU,8734.4004,5309.1895
1999,United States of America,USA,Yemen,YEM,19.799999,119.12337
1999,United States of America,USA,Kuwait,KWT,1551.2,935.65881
1999,United States of America,USA,Bahrain,BHR,236.2,393.69
1999,United States of America,USA,Qatar,QAT,290.79999,285.05493
1999,United States of America,USA,United Arab Emirates,ARE,737.40002,2948.22
1999,United States of America,USA,Oman,OMN,226,299.94995
1999,United States of America,USA,Afghanistan,AFG,9.1999998,19.799999
1999,United States of America,USA,Turkmenistan,TKM,8.1999998,66.300003
1999,United States of America,USA,Tajikistan,TJK,24.5,1.6736
1999,United States of America,USA,Kyrgyzstan,KGZ,0.69999999,54.299999
1999,United States of America,USA,Uzbekistan,UZB,28.1,386.64999
1999,United States of America,USA,Kazakhstan,KAZ,229.89999,348.70001
1999,United States of America,USA,China,CHN,98677.5,32310.406
1999,United States of America,USA,Mongolia,MNG,67.800003,31.48
1999,United States of America,USA,Taiwan,TWN,36423.801,18905.199
1999,United States of America,USA,North Korea,PRK,0,12.43
1999,United States of America,USA,South Korea,KOR,31836.4,24943.199
1999,United States of America,USA,Japan,JPN,134009.09,67528.508
1999,United States of America,USA,India,IND,9598.0996,3582.8999
1999,United States of America,USA,Bhutan,BTN,1,0.69999999
1999,United States of America,USA,Pakistan,PAK,1877.7,659.88324
1999,United States of America,USA,Bangladesh,BGD,2051.3999,446.15887
1999,United States of America,USA,Myanmar,MMR,244.39999,13.31
1999,United States of America,USA,Sri Lanka,LKA,1869.9,216.18336
1999,United States of America,USA,Maldives,MDV,57.5,8.0265932
1999,United States of America,USA,Nepal,NPL,192.2,24.200001
1999,United States of America,USA,Thailand,THA,15025,6442.7979
1999,United States of America,USA,Cambodia,KHM,619.79999,38
1999,United States of America,USA,Laos,LAO,13.9,1.21
1999,United States of America,USA,Vietnam,VNM,653,323.103
1999,United States of America,USA,Malaysia,MYS,21754.4,11413.547
1999,United States of America,USA,Singapore,SGP,18599,19022.311
1999,United States of America,USA,Brunei,BRN,422.39999,173.60184
1999,United States of America,USA,Philippines,PHL,12697.4,6365.9111
1999,United States of America,USA,Indonesia,IDN,10170,2841.0659
1999,United States of America,USA,Australia,AUS,5827.5,15150.551
1999,United States of America,USA,Papua New Guinea,PNG,140.2,45.099998
1999,United States of America,USA,New Zealand,NZL,1911,2406.6523
1999,United States of America,USA,Vanuatu,VUT,23.6,8.8000002
1999,United States of America,USA,Solomon Islands,SLB,1.3,1.87
1999,United States of America,USA,Kiribati,KIR,1.8,6.9000001
1999,United States of America,USA,Fiji,FJI,115.5,138.49001
1999,United States of America,USA,Tonga,TON,6,9.4138021
1999,United States of America,USA,Nauru,NRU,0.2,0.89999998
1999,United States of America,USA,Marshall Islands,MHL,-9,-9
1999,United States of America,USA,Palau,PLW,-9,-9
1999,United States of America,USA,Federated States of Micronesia,FSM,-9,-9
1999,United States of America,USA,Samoa,WSM,7.5999999,12.76
1999,Canada,CAN,Bahamas,BHS,26.490652,16.594673
1999,Canada,CAN,Cuba,CUB,226.86069,269.42822
1999,Canada,CAN,Haiti,HTI,8.2939987,32.070263
1999,Canada,CAN,Dominican Republic,DOM,72.511147,45.300995
1999,Canada,CAN,Jamaica,JAM,148.96646,96.70919
1999,Canada,CAN,Trinidad and Tobago,TTO,54.054386,134.16217
1999,Canada,CAN,Barbados,BRB,7.894002,46.212547
1999,Canada,CAN,Dominica,DMA,1.2080082,3.2885184
1999,Canada,CAN,Grenada,GRD,1.1878095,7.2081113
1999,Canada,CAN,St. Lucia,LCA,0.43066159,11.734074
1999,Canada,CAN,St. Vincent and the Grenadines,VCT,0.11320289,5.0187254
1999,Canada,CAN,Antigua & Barbuda,ATG,0.29724616,7.5903735
